年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@medialand.tw,米蘭 MDCG,7,0,1,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@ua.com.tw,聯廣 UCG,2,0,4,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@mxdigi.com,米蘭 MDCG,5,0,0,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@pilotpr.com.tw,先勢集團,1,0,4,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@unismart.com.tw,聯廣 UCG,4,0,1,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@hakuhodotm.com.tw,台北博報堂 HTM,3,0,0,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@ky-post.com,光洋波斯特,3,0,0,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@meshplus.com.tw,米蘭 MDCG,1,0,1,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@2008-media.com,2008傳媒,0,0,1,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@dvibemedia.com,迪維,1,0,0,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@grandpr.com.tw,先勢集團,0,0,1,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@hakuhodoti.com.tw,台北博報堂 HTM,1,0,0,0
2025,2025-07-25,喚覺躺躺｜夏日聲波花園,無,@planetpr.com.tw,先勢集團,1,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@medialand.tw,米蘭 MDCG,7,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@mxdigi.com,米蘭 MDCG,3,0,1,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@hakuhodotm.com.tw,台北博報堂 HTM,3,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@2008-media.com,2008傳媒,2,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@ky-post.com,光洋波斯特,1,0,1,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@ua.com.tw,聯廣 UCG,2,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@unismart.com.tw,聯廣 UCG,2,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@dvibemedia.com,迪維,1,0,0,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@grandpr.com.tw,先勢集團,0,0,1,0
2025,2025-07-18,進階情緒關係課｜陳德中的正念生活道場,無,@pilotpr.com.tw,先勢集團,0,0,1,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@medialand.tw,米蘭 MDCG,7,0,1,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@hakuhodotm.com.tw,台北博報堂 HTM,4,1,0,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@ua.com.tw,聯廣 UCG,3,0,1,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@mxdigi.com,米蘭 MDCG,3,0,0,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@unismart.com.tw,聯廣 UCG,3,0,0,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@dvibemedia.com,迪維,1,0,0,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@grandpr.com.tw,先勢集團,1,0,0,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@meshplus.com.tw,米蘭 MDCG,0,0,1,0
2025,2025-06-27,初階身心必修課｜陳德中的正念生活道場,無,@pilotpr.com.tw,先勢集團,1,0,0,0
2025,2025-06-13,場次一 13:30 土地精靈音樂會｜夏之象,無,@medialand.tw,米蘭 MDCG,2,0,0,0
2025,2025-06-13,場次一 13:30 土地精靈音樂會｜夏之象,無,@meshplus.com.tw,米蘭 MDCG,0,0,2,0
2025,2025-06-13,場次一 13:30 土地精靈音樂會｜夏之象,無,@mxdigi.com,米蘭 MDCG,1,0,0,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@mxdigi.com,米蘭 MDCG,7,0,3,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@medialand.tw,米蘭 MDCG,5,0,0,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@pilotpr.com.tw,先勢集團,3,0,0,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@ky-post.com,光洋波斯特,1,0,1,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@meshplus.com.tw,米蘭 MDCG,0,0,2,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@hakuhodotm.com.tw,台北博報堂 HTM,1,0,0,0
2025,2025-06-13,場次二 15:30 土地精靈音樂會｜夏之象,無,@mdcg.tw,米蘭 MDCG,1,0,0,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@medialand.tw,米蘭 MDCG,9,0,0,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@ky-post.com,光洋波斯特,4,0,0,0
